2020-01-27 20:18:54,418 [INFO :__main__] My PID is 10883
2020-01-27 20:18:54,419 [INFO :__main__] Namespace(att_vec_size=256, batch_size=64, beam_size=1, brnn_merge='concat', cuda_seed=12345, curriculum=0, dec_dropout=0.0, dec_init='simple', dec_rnn_size=256, dev_input_src='/idiap/temp/jbello/data/validation/neusum_aspect/long_docs/val.src.txt', dev_ref='/idiap/temp/jbello/data/validation/neusum_aspect/long_docs/val.tgt.txt', doc_brnn=True, doc_dropout=0.2, doc_enc_size=256, dump_epoch_checkpoint=False, epochs=100, eval_per_batch=1000, extra_shuffle=True, force_max_len=True, freeze_word_vecs_enc=True, gpus=[0], halve_lr_bad_count=100000, input_feed=1, layers=1, learning_rate=0.001, learning_rate_decay=0.5, log_home='/idiap/temp/jbello/training/neusum_aspect/long_docs/', log_interval=100, max_decode_step=6, max_doc_len=200, max_generator_batches=32, max_grad_norm=5, max_sent_length=100, max_weight_value=15, maxout_pool_size=2, norm_lambda=20, online_process_data=True, optim='adam', param_init=0.1, pre_word_vecs_dec=None, pre_word_vecs_enc='/idiap/temp/jbello/data/training/neusum_aspect/glove.100k.50d.txt', process_shuffle=False, save_path='/idiap/temp/jbello/training/neusum_aspect/long_docs/', seed=12345, self_att_size=512, sent_brnn=True, sent_dropout=0.3, sent_enc_size=256, src_vocab='/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k', start_decay_at=8, start_epoch=1, start_eval_batch=1000, tgt_vocab='/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k', train_oracle='/idiap/temp/jbello/data/training/neusum_aspect/long_docs/train.rouge_bigram_F1.oracle.regGain', train_src='/idiap/temp/jbello/data/training/neusum_aspect/long_docs/train.src.txt', train_src_rouge='/idiap/temp/jbello/data/training/neusum_aspect/long_docs/train.rouge_bigram_F1.oracle.regGain', train_tgt='/idiap/temp/jbello/data/training/neusum_aspect/long_docs/train.tgt.txt', use_self_att=False, word_vec_size=50)
2020-01-27 20:18:54,513 [INFO :__main__] My seed is 12345
2020-01-27 20:19:00,207 [INFO :__main__] My cuda seed is 12345
2020-01-27 20:19:00,225 [INFO :onlinePreprocess] Reading source vocabulary from '/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k'...
2020-01-27 20:19:00,471 [INFO :onlinePreprocess] Loaded 100000 source words
2020-01-27 20:19:00,472 [INFO :onlinePreprocess] Reading target vocabulary from '/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k'...
2020-01-27 20:19:00,677 [INFO :onlinePreprocess] Loaded 100000 target words
2020-01-27 20:19:00,677 [INFO :onlinePreprocess] Preparing training ...
2020-01-27 20:19:00,677 [INFO :onlinePreprocess] Processing /idiap/temp/jbello/data/training/neusum_aspect/long_docs/train.src.txt & /idiap/temp/jbello/data/training/neusum_aspect/long_docs/train.tgt.txt ...
2020-01-27 20:19:00,717 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1)
2020-01-27 20:19:00,739 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-27 20:19:00,740 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-27 20:19:00,749 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (5)
2020-01-27 20:19:00,755 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (6)
2020-01-27 20:19:00,764 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (8)
2020-01-27 20:19:00,779 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (12)
2020-01-27 20:19:00,786 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (13)
2020-01-27 20:19:00,803 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (18)
2020-01-27 20:19:00,832 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (26)
2020-01-27 20:19:00,846 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (31)
2020-01-27 20:19:00,887 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (50)
2020-01-27 20:19:00,905 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (57)
2020-01-27 20:19:00,983 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (70)
2020-01-27 20:19:00,998 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (76)
2020-01-27 20:19:01,011 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (81)
2020-01-27 20:19:01,020 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (84)
2020-01-27 20:19:01,023 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (85)
2020-01-27 20:19:01,023 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (85)
2020-01-27 20:19:01,070 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (98)
2020-01-27 20:19:01,071 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (98)
2020-01-27 20:19:01,078 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (102)
2020-01-27 20:19:01,086 [INFO :onlinePreprocess] WARNING: ignoring an empty line (106)
2020-01-27 20:19:01,104 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (114)
2020-01-27 20:19:01,107 [INFO :onlinePreprocess] WARNING: ignoring an empty line (115)
2020-01-27 20:19:01,121 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (121)
2020-01-27 20:19:01,190 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (151)
2020-01-27 20:19:01,221 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (164)
2020-01-27 20:19:01,224 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (165)
2020-01-27 20:19:01,226 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (166)
2020-01-27 20:19:01,231 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (169)
2020-01-27 20:19:01,242 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (173)
2020-01-27 20:19:01,244 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (174)
2020-01-27 20:19:01,252 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (177)
2020-01-27 20:19:01,267 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (184)
2020-01-27 20:19:01,267 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (184)
2020-01-27 20:19:01,276 [INFO :onlinePreprocess] WARNING: ignoring an empty line (188)
2020-01-27 20:19:01,282 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (190)
2020-01-27 20:19:01,319 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (202)
2020-01-27 20:19:01,348 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (210)
2020-01-27 20:19:01,353 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (212)
2020-01-27 20:19:01,383 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (221)
2020-01-27 20:19:01,391 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (223)
2020-01-27 20:19:01,394 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (223)
2020-01-27 20:19:01,400 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (225)
2020-01-27 20:19:01,411 [INFO :onlinePreprocess] WARNING: ignoring an empty line (233)
2020-01-27 20:19:01,413 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (234)
2020-01-27 20:19:01,426 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (238)
2020-01-27 20:19:01,430 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (239)
2020-01-27 20:19:01,435 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (241)
2020-01-27 20:19:01,444 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (244)
2020-01-27 20:19:01,452 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (246)
2020-01-27 20:19:01,458 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (248)
2020-01-27 20:19:01,468 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (254)
2020-01-27 20:19:01,469 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (254)
2020-01-27 20:19:01,470 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (254)
2020-01-27 20:19:01,493 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (261)
2020-01-27 20:19:01,503 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (264)
2020-01-27 20:19:01,523 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (271)
2020-01-27 20:19:01,535 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (275)
2020-01-27 20:19:01,555 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (282)
2020-01-27 20:19:01,570 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (284)
2020-01-27 20:19:01,575 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (286)
2020-01-27 20:19:01,599 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (297)
2020-01-27 20:19:01,611 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (303)
2020-01-27 20:19:01,665 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (323)
2020-01-27 20:19:01,678 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (330)
2020-01-27 20:19:01,680 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (331)
2020-01-27 20:19:01,682 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (331)
2020-01-27 20:19:01,683 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (331)
2020-01-27 20:19:01,726 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (351)
2020-01-27 20:19:01,730 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (352)
2020-01-27 20:19:01,740 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (357)
2020-01-27 20:19:01,748 [INFO :onlinePreprocess] WARNING: ignoring an empty line (361)
2020-01-27 20:19:01,755 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (364)
2020-01-27 20:19:01,800 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (384)
2020-01-27 20:19:01,809 [INFO :onlinePreprocess] WARNING: ignoring an empty line (388)
2020-01-27 20:19:01,825 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (395)
2020-01-27 20:19:01,827 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (395)
2020-01-27 20:19:01,842 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (403)
2020-01-27 20:19:01,853 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (406)
2020-01-27 20:19:01,871 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (414)
2020-01-27 20:19:01,876 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (414)
2020-01-27 20:19:01,880 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (416)
2020-01-27 20:19:01,881 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (416)
2020-01-27 20:19:01,918 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (434)
2020-01-27 20:19:01,947 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (447)
2020-01-27 20:19:01,989 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (464)
2020-01-27 20:19:01,992 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (465)
2020-01-27 20:19:02,001 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (467)
2020-01-27 20:19:02,006 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (468)
2020-01-27 20:19:02,008 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (468)
2020-01-27 20:19:02,013 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (469)
2020-01-27 20:19:02,028 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (475)
2020-01-27 20:19:02,046 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (481)
2020-01-27 20:19:02,087 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (496)
2020-01-27 20:19:02,090 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (496)
2020-01-27 20:19:02,101 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (500)
2020-01-27 20:19:02,102 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (500)
2020-01-27 20:19:02,106 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (502)
2020-01-27 20:19:02,128 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (512)
2020-01-27 20:19:02,128 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (512)
2020-01-27 20:19:02,145 [INFO :onlinePreprocess] WARNING: ignoring an empty line (520)
2020-01-27 20:19:02,150 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (521)
2020-01-27 20:19:02,155 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (523)
2020-01-27 20:19:02,156 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (523)
2020-01-27 20:19:02,163 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (527)
2020-01-27 20:19:02,174 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (532)
2020-01-27 20:19:02,189 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (539)
2020-01-27 20:19:02,223 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (555)
2020-01-27 20:19:02,227 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (556)
2020-01-27 20:19:02,230 [INFO :onlinePreprocess] WARNING: ignoring an empty line (557)
2020-01-27 20:19:02,230 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (557)
2020-01-27 20:19:02,230 [INFO :onlinePreprocess] WARNING: ignoring an empty line (557)
2020-01-27 20:19:02,248 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (563)
2020-01-27 20:19:02,253 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (564)
2020-01-27 20:19:02,274 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (572)
2020-01-27 20:19:02,290 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (579)
2020-01-27 20:19:02,311 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (588)
2020-01-27 20:19:02,312 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (588)
2020-01-27 20:19:02,317 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (590)
2020-01-27 20:19:02,328 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (595)
2020-01-27 20:19:02,349 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (603)
2020-01-27 20:19:02,351 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (604)
2020-01-27 20:19:02,371 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (612)
2020-01-27 20:19:02,371 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (612)
2020-01-27 20:19:02,405 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (627)
2020-01-27 20:19:02,405 [INFO :onlinePreprocess] WARNING: ignoring an empty line (627)
2020-01-27 20:19:02,436 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (639)
2020-01-27 20:19:02,450 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (645)
2020-01-27 20:19:02,451 [INFO :onlinePreprocess] WARNING: ignoring an empty line (646)
2020-01-27 20:19:02,459 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (650)
2020-01-27 20:19:02,485 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (661)
2020-01-27 20:19:02,492 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (663)
2020-01-27 20:19:02,509 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (668)
2020-01-27 20:19:02,516 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (670)
2020-01-27 20:19:02,518 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (671)
2020-01-27 20:19:02,523 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (673)
2020-01-27 20:19:02,529 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (675)
2020-01-27 20:19:02,532 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (676)
2020-01-27 20:19:02,545 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (680)
2020-01-27 20:19:02,554 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (683)
2020-01-27 20:19:02,562 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (687)
2020-01-27 20:19:02,575 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (691)
2020-01-27 20:19:02,576 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (691)
2020-01-27 20:19:02,602 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (704)
2020-01-27 20:19:02,632 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (714)
2020-01-27 20:19:02,653 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (719)
2020-01-27 20:19:02,661 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (723)
2020-01-27 20:19:02,677 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (728)
2020-01-27 20:19:02,732 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (744)
2020-01-27 20:19:02,817 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (753)
2020-01-27 20:19:02,852 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (767)
2020-01-27 20:19:02,867 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (770)
2020-01-27 20:19:02,871 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (771)
2020-01-27 20:19:02,875 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (772)
2020-01-27 20:19:02,885 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (777)
2020-01-27 20:19:02,893 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (780)
2020-01-27 20:19:02,895 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (780)
2020-01-27 20:19:02,925 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (792)
2020-01-27 20:19:02,926 [INFO :onlinePreprocess] WARNING: ignoring an empty line (792)
2020-01-27 20:19:02,943 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (799)
2020-01-27 20:19:02,993 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (817)
2020-01-27 20:19:03,023 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (828)
2020-01-27 20:19:03,025 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (828)
2020-01-27 20:19:03,041 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (832)
2020-01-27 20:19:03,042 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (832)
2020-01-27 20:19:03,067 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (838)
2020-01-27 20:19:03,077 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (841)
2020-01-27 20:19:03,078 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (841)
2020-01-27 20:19:03,085 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (843)
2020-01-27 20:19:03,106 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (853)
2020-01-27 20:19:03,121 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (859)
2020-01-27 20:19:03,134 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (865)
2020-01-27 20:19:03,137 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (866)
2020-01-27 20:19:03,145 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (868)
2020-01-27 20:19:03,155 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (872)
2020-01-27 20:19:03,162 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (876)
2020-01-27 20:19:03,162 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (876)
2020-01-27 20:19:03,183 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (887)
2020-01-27 20:19:03,184 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (888)
2020-01-27 20:19:03,187 [INFO :onlinePreprocess] WARNING: ignoring an empty line (889)
2020-01-27 20:19:03,197 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (896)
2020-01-27 20:19:03,200 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (898)
2020-01-27 20:19:03,200 [INFO :onlinePreprocess] WARNING: ignoring an empty line (898)
2020-01-27 20:19:03,206 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (901)
2020-01-27 20:19:03,214 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (903)
2020-01-27 20:19:03,235 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (915)
2020-01-27 20:19:03,237 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (915)
