2020-01-27 21:22:25,489 [INFO :__main__] My PID is 23513
2020-01-27 21:22:25,490 [INFO :__main__] Namespace(att_vec_size=256, batch_size=64, beam_size=1, brnn_merge='concat', cuda_seed=12345, curriculum=0, dec_dropout=0.0, dec_init='simple', dec_rnn_size=256, dev_input_src='/idiap/temp/jbello/data/validation/neusum/val.src.txt', dev_ref='/idiap/temp/jbello/data/validation/neusum/val.tgt.txt', doc_brnn=True, doc_dropout=0.2, doc_enc_size=256, dump_epoch_checkpoint=False, epochs=100, eval_per_batch=1000, extra_shuffle=True, force_max_len=True, freeze_word_vecs_enc=True, gpus=[0], halve_lr_bad_count=100000, input_feed=1, layers=1, learning_rate=0.001, learning_rate_decay=0.5, log_home='/idiap/temp/jbello/training/neusum_aspect/short_docs/', log_interval=100, max_decode_step=3, max_doc_len=20, max_generator_batches=32, max_grad_norm=5, max_sent_length=100, max_weight_value=15, maxout_pool_size=2, norm_lambda=20, online_process_data=True, optim='adam', param_init=0.1, pre_word_vecs_dec=None, pre_word_vecs_enc='/idiap/temp/jbello/data/training/neusum_aspect/glove.100k.50d.txt', process_shuffle=False, save_path='/idiap/temp/jbello/training/neusum_aspect/short_docs/', seed=12345, self_att_size=512, sent_brnn=True, sent_dropout=0.3, sent_enc_size=256, src_vocab='/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k', start_decay_at=8, start_epoch=1, start_eval_batch=1000, tgt_vocab='/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k', train_oracle='/idiap/temp/jbello/data/training/neusum/train.rouge_bigram_F1.oracle.regGain', train_src='/idiap/temp/jbello/data/training/neusum/train.src.txt', train_src_rouge='/idiap/temp/jbello/data/training/neusum/train.rouge_bigram_F1.oracle.regGain', train_tgt='/idiap/temp/jbello/data/training/neusum/train.tgt.txt', use_self_att=False, word_vec_size=50)
2020-01-27 21:22:25,587 [INFO :__main__] My seed is 12345
2020-01-27 21:22:31,306 [INFO :__main__] My cuda seed is 12345
2020-01-27 21:22:31,311 [INFO :onlinePreprocess] Reading source vocabulary from '/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k'...
2020-01-27 21:22:31,574 [INFO :onlinePreprocess] Loaded 100000 source words
2020-01-27 21:22:31,575 [INFO :onlinePreprocess] Reading target vocabulary from '/idiap/temp/jbello/data/training/neusum_aspect/vocab.txt.100k'...
2020-01-27 21:22:31,827 [INFO :onlinePreprocess] Loaded 100000 target words
2020-01-27 21:22:31,827 [INFO :onlinePreprocess] Preparing training ...
2020-01-27 21:22:31,827 [INFO :onlinePreprocess] Processing /idiap/temp/jbello/data/training/neusum/train.src.txt & /idiap/temp/jbello/data/training/neusum/train.tgt.txt ...
2020-01-27 21:22:31,836 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1)
2020-01-27 21:22:31,842 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1)
2020-01-27 21:22:31,850 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (2)
2020-01-27 21:22:31,850 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (2)
2020-01-27 21:22:31,853 [INFO :onlinePreprocess] WARNING: ignoring an empty line (3)
2020-01-27 21:22:31,853 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-27 21:22:31,854 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (3)
2020-01-27 21:22:31,862 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (5)
2020-01-27 21:22:31,869 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (8)
2020-01-27 21:22:31,874 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (10)
2020-01-27 21:22:31,875 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (11)
2020-01-27 21:22:31,877 [INFO :onlinePreprocess] WARNING: ignoring an empty line (12)
2020-01-27 21:22:31,878 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (12)
2020-01-27 21:22:31,878 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (12)
2020-01-27 21:22:31,880 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (13)
2020-01-27 21:22:31,880 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (13)
2020-01-27 21:22:31,881 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (13)
2020-01-27 21:22:31,883 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (15)
2020-01-27 21:22:31,888 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (17)
2020-01-27 21:22:31,890 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (17)
2020-01-27 21:22:31,894 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (18)
2020-01-27 21:22:31,899 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (21)
2020-01-27 21:22:31,907 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (23)
2020-01-27 21:22:31,908 [INFO :onlinePreprocess] WARNING: ignoring an empty line (24)
